PMID,Title,Authors,First Author,Journal/Book,Publication Year,Create Date
29406940,Heart Disease in Children,"Garcia RU, Peddy SB.",Garcia RU,Prim Care,2018,07-02-2018
31592122,"Radiation-induced heart disease: a review of classification, mechanism and prevention","Wang H, Wei J, Zheng Q, Meng L, Xin Y, Yin X, Jiang X.",Wang H,Int J Biol Sci,2019,09-10-2019
25459973,Exercise training in patients with heart disease: review of beneficial effects and clinical recommendations,"Gielen S, Laughlin MH, O'Conner C, Duncker DJ.",Gielen S,Prog Cardiovasc Dis,2015,03-12-2014
37003416,"Viral Heart Disease: Diagnosis, Management, and Mechanisms","Liu-Fei F, McKinney J, McManus BM.",Liu-Fei F,Can J Cardiol,2023,01-04-2023
35422260,Heart Disease in Pet Birds - Diagnostic Options,"Cornelia K, Krautwald-Junghanns ME.",Cornelia K,Vet Clin North Am Exot Anim Pract,2022,15-04-2022
33541616,Pulmonary Hypertension in Left Heart Disease,"Reddy YNV, Borlaug BA.",Reddy YNV,Clin Chest Med,2021,05-02-2021
26026739,Heart disease in pregnancy,"Emmanuel Y, Thorne SA.",Emmanuel Y,Best Pract Res Clin Obstet Gynaecol,2015,01-06-2015
28838969,Acquired heart disease in low-income and middle-income countries,"Curry C, Zuhlke L, Mocumbi A, Kennedy N.",Curry C,Arch Dis Child,2018,26-08-2017
10875028,Hyperthyroid heart disease,"Fadel BM, Ellahham S, Ringel MD, Lindsay J Jr, Wartofsky L, Burman KD.",Fadel BM,Clin Cardiol,2000,30-06-2000
36411622,Circular RNAs as a promising biomarker for heart disease,Kim YK.,Kim YK,Biomed Pharmacother,2022,22-11-2022
31134443,Pulmonary Hypertension Due to Left Heart Disease: an Update,"Aras MA, Psotka MA, De Marco T.",Aras MA,Curr Cardiol Rep,2019,29-05-2019
28740581,The Parathyroid Gland and Heart Disease,"Brown SJ, Ruppe MD, Tabatabai LS.",Brown SJ,Methodist Debakey Cardiovasc J,2017,26-07-2017
36443063,[Radiation-Induced Heart Disease: Current Status and Challenges],"Yang HJ, Zhang Y, Peng O, Zou BW.",Yang HJ,Sichuan Da Xue Xue Bao Yi Xue Ban,2022,28-11-2022
28550088,"Cardiac telomere length in heart development, function, and disease","Booth SA, Charchar FJ.",Booth SA,Physiol Genomics,2017,28-05-2017
31607635,US trends in premature heart disease mortality over the past 50 years: Where do we go from here?,"Ritchey MD, Wall HK, George MG, Wright JS.",Ritchey MD,Trends Cardiovasc Med,2020,15-10-2019
25307548,Biomarkers in pediatric heart disease,"Nawaytou H, Bernstein HS.",Nawaytou H,Biomark Med,2014,14-10-2014
18424575,Diabetic heart disease,Marwick TH.,Marwick TH,Postgrad Med J,2008,22-04-2008
25510577,Liver disease related to the heart,"Ford RM, Book W, Spivey JR.",Ford RM,Transplant Rev (Orlando),2015,17-12-2014
15860963,Hypertensive heart disease,Prisant LM.,Prisant LM,J Clin Hypertens (Greenwich),2005,30-04-2005
25307549,Biomarkers in congenital heart disease,"Dobson R, Walker HA, Walker NL.",Dobson R,Biomark Med,2014,14-10-2014
10918677,Valvular heart disease,Hara JH.,Hara JH,Prim Care,2000,05-08-2000
19734077,"Heart disease in cattle: diagnosis, therapeutic approaches and prognosis","Buczinski S, Rezakhani A, Boerboom D.",Buczinski S,Vet J,2010,08-09-2009
22726250,Heart disease and left ventricular rotation - a systematic review and quantitative summary,"Phillips AA, Cote AT, Bredin SS, Warburton DE.",Phillips AA,BMC Cardiovasc Disord,2012,26-06-2012
16388707,Scleroderma heart disease,"Marasini B, Massarotti M, Cossutta R.",Marasini B,Int J Immunopathol Pharmacol,2005,04-01-2006
26957643,"Women and heart disease, the underrecognized burden: sex differences, biases, and unmet clinical and research challenges","Westerman S, Wenger NK.",Westerman S,Clin Sci (Lond),2016,10-03-2016
32250367,[Intracardiac echocardiography guiding structural heart disease interventions],"Pastormerlo LE, Berti S.",Pastormerlo LE,G Ital Cardiol (Rome),2020,07-04-2020
3549164,Heart disease in the elderly,"Wei JY, Gersh BJ.",Wei JY,Curr Probl Cardiol,1987,01-01-1987
29788848,[Sports in Patients with Heart Disease: What Should Be Recommended?],"Rossi VA, Schmied CM, Niederseer D.",Rossi VA,Praxis (Bern 1994),2018,24-05-2018
9833168,Women and heart disease,Maxwell SR.,Maxwell SR,Basic Res Cardiol,1998,02-12-1998
22548032,"Heart transplantation in biventricular congenital heart disease: indications, techniques, and outcomes","Mora BN, Huddleston CB.",Mora BN,Curr Cardiol Rev,2011,02-05-2012
28867689,ANGPTL2　- A New Causal Player in Accelerating Heart Disease Development in the Aging,"Oike Y, Tian Z, Miyata K, Morinaga J, Endo M, Kadomatsu T.",Oike Y,Circ J,2017,05-09-2017
25037633,A vital role for complement in heart disease,"Lappegård KT, Garred P, Jonasson L, Espevik T, Aukrust P, Yndestad A, Mollnes TE, Hovland A.",Lappegård KT,Mol Immunol,2014,20-07-2014
29471918,Pathophysiology and Prevention of Heart Disease in Diabetes Mellitus,"Oktay AA, Akturk HK, Esenboğa K, Javed F, Polin NM, Jahangir E.",Oktay AA,Curr Probl Cardiol,2018,24-02-2018
23931976,Frailty and heart disease,"von Haehling S, Anker SD, Doehner W, Morley JE, Vellas B.",von Haehling S,Int J Cardiol,2013,13-08-2013
10918679,Heart disease in children,Harris GD.,Harris GD,Prim Care,2000,05-08-2000
30426894,"Coronary Microcirculation and Ischemic Heart Disease, Today",Bugiardini R.,Bugiardini R,Curr Pharm Des,2018,15-11-2018
29788235,Heart Under Attack: Cardiac Manifestations of Inflammatory Bowel Disease,"Mitchell NE, Harrison N, Junga Z, Singla M.",Mitchell NE,Inflamm Bowel Dis,2018,23-05-2018
29283059,Viral Heart Disease and Acute Coronary Syndromes - Often or Rare Coexistence?,"Pawlak A, Wiligorska N, Wiligorska D, Frontczak-Baniewicz M, Przybylski M, Krzyzewski R, Ziemba A, Gil RJ.",Pawlak A,Curr Pharm Des,2018,29-12-2017
17435813,[Heart disease and stroke],"Berge E, Dahl T.",Berge E,Tidsskr Nor Laegeforen,2007,17-04-2007
27815926,Hypertension Is a Risk Factor for Several Types of Heart Disease: Review of Prospective Studies,"Kokubo Y, Matsumoto C.",Kokubo Y,Adv Exp Med Biol,2017,06-11-2016
22383293,Congenital heart disease and the liver,"Asrani SK, Asrani NS, Freese DK, Phillips SD, Warnes CA, Heimbach J, Kamath PS.",Asrani SK,Hepatology,2012,03-03-2012
26044246,The spectrum of epidemiology underlying sudden cardiac death,"Hayashi M, Shimizu W, Albert CM.",Hayashi M,Circ Res,2015,06-06-2015
10918678,Heart disease in women,"Heim LJ, Brunsell SC.",Heim LJ,Prim Care,2000,05-08-2000
23834694,Cancer in heart disease patients: what are the limitations in the treatment strategy?,Mistiaen WP.,Mistiaen WP,Future Cardiol,2013,10-07-2013
29685887,Cardiopulmonary Resuscitation in Infants and Children With Cardiac Disease: A Scientific Statement From the American Heart Association,"Marino BS, Tabbutt S, MacLaren G, Hazinski MF, Adatia I, Atkins DL, Checchia PA, DeCaen A, Fink EL, Hoffman GM, Jefferies JL, Kleinman M, Krawczeski CD, Licht DJ, Macrae D, Ravishankar C, Samson RA, Thiagarajan RR, Toms R, Tweddell J, Laussen PC; American Heart Association Congenital Cardiac Defects Committee of the Council on Cardiovascular Disease in the Young; Council on Clinical Cardiology; Council on Cardiovascular and Stroke Nursing; Council on Cardiovascular Surgery and Anesthesia; and Emergency Cardiovascular Care Committee.",Marino BS,Circulation,2018,25-04-2018
8199364,Acquired heart disease in children,"Bezold LI, Bricker JT.",Bezold LI,Curr Opin Cardiol,1994,01-01-1994
26226869,Human Immunodeficiency Virus Infection-Related Heart Disease,"Pham TV, Torres M.",Pham TV,Emerg Med Clin North Am,2015,01-08-2015
27490599,Cardiopulmonary Resuscitation in Congenital and Acquired Heart Disease,"Tabbutt S, Marino BS.",Tabbutt S,Pediatr Crit Care Med,2016,05-08-2016
27356774,Application of Mitochondria-Targeted Pharmaceuticals for the Treatment of Heart Disease,Mailloux RJ.,Mailloux RJ,Curr Pharm Des,2016,01-07-2016
24491402,A systematic review of yoga for heart disease,"Cramer H, Lauche R, Haller H, Dobos G, Michalsen A.",Cramer H,Eur J Prev Cardiol,2015,05-02-2014
16218459,Inflammatory heart disease: a role for cytokines,"Fairweather D, Rose NR.",Fairweather D,Lupus,2005,13-10-2005
19122112,"Depression and heart disease: what do we know, and where are we headed?","Pozuelo L, Tesar G, Zhang J, Penn M, Franco K, Jiang W.",Pozuelo L,Cleve Clin J Med,2009,06-01-2009
22418690,Cardiotrophin-1 in hypertensive heart disease,"González A, López B, Ravassa S, Beaumont J, Zudaire A, Gallego I, Brugnolaro C, Díez J.",González A,Endocrine,2012,16-03-2012
28167078,Ablation of Ventricular Tachycardia in Congenital and Infiltrative Heart Disease,"Wijnmaalen AP, Zeppenfeld K.",Wijnmaalen AP,Card Electrophysiol Clin,2017,08-02-2017
37138014,Heart disease risk factors detection from electronic health records using advanced NLP and deep learning techniques,"Houssein EH, Mohamed RE, Ali AA.",Houssein EH,Sci Rep,2023,03-05-2023
22875321,Heart disease in pregnancy,"Vause S, Clarke B.",Vause S,Br J Hosp Med (Lond),2012,10-08-2012
30458570,Diagnosis and Management of Acquired von Willebrand Disease in Heart Disease: A Review of the Literature,"Petricevic M, Knezevic J, Samoukovic G, Bradaric B, Safradin I, Mestrovic M, Papestiev V, Hodalin A, Madzar T, Mihalj M, Rotim A, Biocina B.",Petricevic M,Thorac Cardiovasc Surg,2020,21-11-2018
38844090,Physical exercise in hypertensive heart disease: From the differential diagnosis to the complementary role of exercise,"Pastore MC, Cavigli L, Olivoni G, Morrone F, Amati F, Imbalzano E, Rinaldi A, Liga R, Mattioli AV, Scicchitano P, Curcio A, Barillà F, Ciccarelli M, Maestrini V, Perrone Filardi P, D'Ascenzi F, Cameli M; Working Group on Hypertension, Prevention and Peripheral Circulation of the Italian Society of Cardiology.",Pastore MC,Int J Cardiol,2024,06-06-2024
33581255,Artificial Intelligence and Transcatheter Interventions for Structural Heart Disease: A glance at the (near) future,"Ribeiro JM, Astudillo P, de Backer O, Budde R, Nuis RJ, Goudzwaard J, Van Mieghem NM, Lumens J, Mortier P, Mattace-Raso F, Boersma E, Cummins P, Bruining N, de Jaegere PP.",Ribeiro JM,Trends Cardiovasc Med,2022,13-02-2021
21775043,[Amyloidosis. Also a heart disease],"García-Pavía P, Tomé-Esteban MT, Rapezzi C.",García-Pavía P,Rev Esp Cardiol,2011,22-07-2011
33632455,Anxiety and psychological management of heart disease and heart surgery,"Riordan P, Davis M.",Riordan P,Handb Clin Neurol,2021,26-02-2021
8291971,Heart disease in patients with stroke. Part II: Impact and implications for rehabilitation,Roth EJ.,Roth EJ,Arch Phys Med Rehabil,1994,01-01-1994
32622924,Young Women's Perceptions of Heart Disease Risk,"Gooding HC, Brown CA, Revette AC, Vaccarino V, Liu J, Patterson S, Stamoulis C, de Ferranti SD.",Gooding HC,J Adolesc Health,2020,06-07-2020
31932113,Mechanical Circulatory Support in Pediatric and Adult Congenital Heart Disease,"Santamaria RL, Jeewa A, Cedars A, Buchholz H, Conway J.",Santamaria RL,Can J Cardiol,2020,15-01-2020
23886508,Embryology of the heart and its impact on understanding fetal and neonatal heart disease,"Gittenberger-de Groot AC, Bartelings MM, Poelmann RE, Haak MC, Jongbloed MR.",Gittenberger-de Groot AC,Semin Fetal Neonatal Med,2013,27-07-2013
21881684,The state of heart disease in Sudan,Suliman A.,Suliman A,Cardiovasc J Afr,2011,02-09-2011
20001622,Heart disease in thalassemia intermedia,"Aessopos A, Tsironi M, Andreopoulos A, Farmakis D.",Aessopos A,Hemoglobin,2009,17-12-2009
27938516,Radiation-induced heart disease: A practical guide to diagnosis and management,"Donnellan E, Phelan D, McCarthy CP, Collier P, Desai M, Griffin B.",Donnellan E,Cleve Clin J Med,2016,13-12-2016
18948630,Toward microRNA-based therapeutics for heart disease: the sense in antisense,"van Rooij E, Marshall WS, Olson EN.",van Rooij E,Circ Res,2008,25-10-2008
24291276,Left atrial size and function: role in prognosis,Hoit BD.,Hoit BD,J Am Coll Cardiol,2014,03-12-2013
25054791,Congenital heart disease: transitioning from pediatric to adult cardiology care,"Kasinskas K, Colomb-Lippa D.",Kasinskas K,JAAPA,2014,24-07-2014
19401126,End-stage heart disease in the elderly,"Martínez-Sellés M, Vidán MT, López-Palop R, Rexach L, Sánchez E, Datino T, Cornide M, Carrillo P, Ribera JM, Díaz-Castro O, Bañuelos C; Spanish Society of Cardiology Section on Geriatric Cardiology ""Endstage heart disease in the elderly"" working group.",Martínez-Sellés M,Rev Esp Cardiol,2009,30-04-2009
16857376,Transplantation for adults with congenital heart disease,"Hosseinpour AR, Cullen S, Tsang VT.",Hosseinpour AR,Eur J Cardiothorac Surg,2006,22-07-2006
26086629,Bone Marrow Therapies for Chronic Heart Disease,"Behbahan IS, Keating A, Gale RP.",Behbahan IS,Stem Cells,2015,19-06-2015
26296945,"Radiation induced heart disease: Pathogenesis, management and review literature","Madan R, Benson R, Sharma DN, Julka PK, Rath GK.",Madan R,J Egypt Natl Canc Inst,2015,23-08-2015
38424704,A comprehensive review on heart disease prognostication using different artificial intelligence algorithms,"Fathima AJ, Fasla MMN.",Fathima AJ,Comput Methods Biomech Biomed Engin,2024,01-03-2024
15039815,[Hypertension and heart disease],"Gerdts E, Omvik P, Mo R, Kjeldsen SE.",Gerdts E,Tidsskr Nor Laegeforen,2004,25-03-2004
8799707,Heart disease in diabetes mellitus,"Raman M, Nesto RW.",Raman M,Endocrinol Metab Clin North Am,1996,01-06-1996
23592742,Management of pulmonary hypertension in left heart disease,"Schmeisser A, Schroetter H, Braun-Dulleaus RC.",Schmeisser A,Ther Adv Cardiovasc Dis,2013,18-04-2013
2690346,Heart disease in systemic sclerosis,"Janosik DL, Osborn TG, Moore TL, Shah DG, Kenney RG, Zuckner J.",Janosik DL,Semin Arthritis Rheum,1989,01-12-1989
18288184,The developmental genetics of congenital heart disease,Bruneau BG.,Bruneau BG,Nature,2008,22-02-2008
22399855,Challenges for heart disease stem cell therapy,"Hoover-Plow J, Gong Y.",Hoover-Plow J,Vasc Health Risk Manag,2012,09-03-2012
25299497,Sustained ventricular tachycardia in structural heart disease,Hadid C.,Hadid C,Cardiol J,2015,10-10-2014
9457442,Apoptosis in congenital heart disease,James TN.,James TN,Coron Artery Dis,1997,11-02-1998
8328899,"Heart disease in patients with stroke: incidence, impact, and implications for rehabilitation. Part 1: Classification and prevalence",Roth EJ.,Roth EJ,Arch Phys Med Rehabil,1993,01-07-1993
12928479,Proteomics of heart disease,"McGregor E, Dunn MJ.",McGregor E,Hum Mol Genet,2003,21-08-2003
25483951,Contemporary treatment of amyloid heart disease,"Palecek T, Fikrle M, Nemecek E, Bauerova L, Kuchynka P, Louch WE, Spicka I, Rysava R.",Palecek T,Curr Pharm Des,2015,09-12-2014
32899694,Galectin-3: A Potential Prognostic and Diagnostic Marker for Heart Disease and Detection of Early Stage Pathology,"Hara A, Niwa M, Kanayama T, Noguchi K, Niwa A, Matsuo M, Kuroda T, Hatano Y, Okada H, Tomita H.",Hara A,Biomolecules,2020,09-09-2020
32377891,Outcome of Heart Disease in Syrian Refugee Children: Insights into Crisis,"Al-Ammouri I, Daher A, Tutunji L, Qutishat H, Hijazi A, Al-Shaikh H, Al Qusous L, Al-Othman N, Salah S, Alibrahim O.",Al-Ammouri I,Pediatr Cardiol,2020,08-05-2020
23338720,Interventional echocardiography in structural heart disease,"Perk G, Kronzon I.",Perk G,Curr Cardiol Rep,2013,23-01-2013
20415651,Expression and function of microRNAs in heart disease,"Ikeda S, Pu WT.",Ikeda S,Curr Drug Targets,2010,27-04-2010
29327894,Cell therapy for heart disease: current status and future directions,"Kahlon A, Vaidya G, Bolli R.",Kahlon A,Minerva Cardioangiol,2018,13-01-2018
29216988,"Catheter Ablation of Ventricular Tachycardia in Structural Heart Disease: Indications, Strategies, and Outcomes-Part II","Dukkipati SR, Koruth JS, Choudry S, Miller MA, Whang W, Reddy VY.",Dukkipati SR,J Am Coll Cardiol,2017,09-12-2017
17020705,[Pregnancy and heart disease],"Pijuan Domènech A, Gatzoulis MA.",Pijuan Domènech A,Rev Esp Cardiol,2006,06-10-2006
22548028,Impact of pulmonary vascular resistances in heart transplantation for congenital heart disease,"Gazit AZ, Canter CE.",Gazit AZ,Curr Cardiol Rev,2011,02-05-2012
20146691,Congenital heart disease and brain development,"McQuillen PS, Miller SP.",McQuillen PS,Ann N Y Acad Sci,2010,12-02-2010
10070480,The role of oxidative stress in the genesis of heart disease,"Singal PK, Khaper N, Palace V, Kumar D.",Singal PK,Cardiovasc Res,1998,10-03-1999
19095166,The comparative effectiveness of heart disease prevention and treatment strategies,"Kottke TE, Faith DA, Jordan CO, Pronk NP, Thomas RJ, Capewell S.",Kottke TE,Am J Prev Med,2009,20-12-2008
26542311,Management Issues in Intensive Care Units for Infants and Children with Heart Disease,Iyer PU.,Iyer PU,Indian J Pediatr,2015,07-11-2015
7501308,Fish and heart disease: what is the real story?,Katan MB.,Katan MB,Nutr Rev,1995,01-08-1995
12968773,"Heart disease mortality in women: racial, ethnic, and geographic disparities","Andrews JO, Graham-Garcia J, Raines TL.",Andrews JO,J Cardiovasc Nurs,2001,13-09-2003
22548033,Mechanical circulatory support for end-stage heart failure in repaired and palliated congenital heart disease,"Clark JB, Pauliks LB, Myers JL, Undar A.",Clark JB,Curr Cardiol Rev,2011,02-05-2012
26729106,Role for the Unfolded Protein Response in Heart Disease and Cardiac Arrhythmias,"Liu M, Dudley SC Jr.",Liu M,Int J Mol Sci,2015,06-01-2016
29078987,Collaborative Care and Related Interventions in Patients With Heart Disease: An Update and New Directions,"Huffman JC, Adams CN, Celano CM.",Huffman JC,Psychosomatics,2018,29-10-2017
27372533,Heart Disease in Syrian Refugee Children: Experience at Jordan University Hospital,"Al-Ammouri I, Ayoub F.",Al-Ammouri I,Ann Glob Health,2016,04-07-2016
28535761,The emerging role of Cardiovascular Magnetic Resonance in the evaluation of hypertensive heart disease,"Mavrogeni S, Katsi V, Vartela V, Noutsias M, Markousis-Mavrogenis G, Kolovou G, Manolis A.",Mavrogeni S,BMC Cardiovasc Disord,2017,25-05-2017
7030042,"Primary heart disease in systemic sclerosis (scleroderma): advances in clinical and pathologic features, pathogenesis, and new therapeutic approaches","Botstein GR, LeRoy EC.",Botstein GR,Am Heart J,1981,01-11-1981
34780203,"Post-9/11 veterans' heart disease knowledge, self-perceived risk, and prevention beliefs and behaviors","Gaffey AE, Haskell SG, Brandt CA, Bastian LA, Meadows JL, Burg MM.",Gaffey AE,Health Psychol,2021,15-11-2021
31348712,Heart disease: from living to living well,Mendes A.,Mendes A,Br J Nurs,2019,27-07-2019
20425289,The impact of depression in heart disease,"Sher Y, Lolak S, Maldonado JR.",Sher Y,Curr Psychiatry Rep,2010,29-04-2010
